Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
confirmprofileaccount.com,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1
marreme.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1
modsecpaststudents.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
docs.google.com,0,0,1,5,0,0,0,0,1,1,1,1,1,1,1,1
oportunidadedasemana.com,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1
villashippingtradingpv-my.sharepoint.com,0,0,1,5,0,0,1,1,1,1,1,1,1,1,1,1
ikonikcommercialgroup.com,0,0,1,5,0,0,0,0,1,1,1,1,1,1,1,1
fareast.qa,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1
kassa.click,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1
storage.googleapis.com,0,1,1,3,0,0,1,0,1,1,1,1,1,1,1,1
decifra.com.br,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1
thejobnewsupdate.com,0,0,1,5,0,0,0,0,1,1,1,1,1,1,1,1
mocktails.co.in,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
chad-moore.com,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
thejobnewsupdate.com,0,0,1,5,0,0,0,0,1,1,1,1,1,1,1,1
stolizaparketa.ru,0,1,1,7,0,0,0,0,1,1,1,1,1,1,1,1
03418f6.netsolhost.com,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1
paws.org.au,0,0,1,9,0,0,0,0,1,1,1,1,1,1,1,1
chiatena.zxy.me,0,0,1,5,0,0,0,0,1,1,1,1,1,1,1,1
royalhometouchhotels.com,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1
infopublishersassociation.com,0,0,1,8,0,0,0,0,1,1,1,1,1,1,1,1
qwmj.weebly.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
nowskins.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1
atendimento-sac-pg.joomla.com,0,0,1,3,0,0,0,1,1,1,1,1,1,1,1,1
saleschampion.co.uk,0,0,1,5,0,0,0,0,1,1,1,1,1,1,1,1
sites.google.com,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1
medienschmiede-sander.de,0,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1
weddingsbyknottydays.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
meduchet.com,0,0,1,6,0,0,1,0,1,1,1,1,1,1,1,1
35.188.36.185,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1,1
lt.mydplr.com,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1
maciel.med.br,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,1
lz5.1ee.myftpupload.com,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1
jrgm.com.mx,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
kidgmt.xyz,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1
agro-hotel.com,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
prettanike.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,1
costcutterhome.com,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1,1
